Question Number|Question|Choices|Correct Answer|Translation
1|"Ποιο είναι το κυριότερο πολιτικό σύστημα που εφαρμόζεται στην Κύπρο;"|"Α) Προεδρική Δημοκρατία, Β) Βασιλεία, Γ) Κομμουνισμός, Δ) Δημοκρατία"|0|"Какая основная политическая система применяется на Кипре? Α) Президентская республика, Β) Монархия, Γ) Коммунизм, Δ) Демократия"
2|"Ποιος είναι ο τρέχων Πρόεδρος της Κύπρου;"|"Α) Νίκος Αναστασιάδης, Β) Νίκος Χριστοδουλίδης, Γ) Δημήτρης Χριστόφιας, Δ) Ανδρέας Παπαδόπουλος"|1|"Кто является текущим президентом Кипра? Α) Никос Анастасиадис, Β) Никос Христодулидис, Γ) Димитрис Христофиас, Δ) Андреас Пападопулос"
3|"Ποιο είναι το νόμισμα που χρησιμοποιείται στην Κύπρο;"|"Α) Ευρώ, Β) Δολάριο, Γ) Λίρα Κύπρου, Δ) Ρούβλι"|0|"Какая валюта используется на Кипре? Α) Евро, Β) Доллар, Γ) Кипрский фунт, Δ) Рубль"
4|"Πότε προσχώρησε η Κύπρος στην Ευρωπαϊκή Ένωση;"|"Α) 2004, Β) 1998, Γ) 2010, Δ) 1986"|0|"Когда Кипр присоединился к Европейскому Союзу? Α) 2004, Β) 1998, Γ) 2010, Δ) 1986"
5|"Ποιο είναι το μεγαλύτερο λιμάνι της Κύπρου;"|"Α) Λάρνακα, Β) Λεμεσός, Γ) Λάτσι, Δ) Λευκωσία"|1|"Какой самый крупный порт на Кипре? Α) Ларнака, Β) Лимасол, Γ) Лачи, Δ) Никосия"
6|"Ποια είναι η πρωτεύουσα της Κύπρου;"|"Α) Λεμεσός, Β) Λάρνακα, Γ) Πάφος, Δ) Λευκωσία"|3|"Какова столица Кипра? Α) Лимасол, Β) Ларнака, Γ) Пафос, Δ) Никосия"
7|"Ποιο είναι το κύριο πρόβλημα που αντιμετωπίζει η Κύπρος σε σχέση με την Τουρκία;"|"Α) Κατοχή τουρκικών στρατευμάτων στο βόρειο μέρος της Κύπρου, Β) Οικονομικές διαφορές, Γ) Συνοριακές διαμάχες, Δ) Προβλήματα μετανάστευσης"|0|"Какова основная проблема, с которой сталкивается Кипр в отношениях с Турцией? Α) Оккупация турецкими войсками северной части Кипра, Β) Экономические разногласия, Γ) Пограничные споры, Δ) Проблемы миграции"
8|"Ποιο είναι το κύριο πολιτικό κόμμα στην Κύπρο;"|"Α) Δημοκρατικός Συναγερμός, Β) Αριστερή Συμμαχία, Γ) Δημοκρατικό Κόμμα, Δ) Δημοκρατική Συμπαράταξη"|0|"Какая основная политическая партия на Кипре? Α) Демократическое сражение, Β) Левая коалиция, Γ) Демократическая партия, Δ) Демократическое объединение"
9|"Ποια είναι η ημερομηνία των Χριστουγέννων;"|"Α) 24 Δεκεμβρίου, Β) 25 Δεκεμβρίου, Γ) 26 Δεκεμβρίου, Δ) 31 Δεκεμβρίου"|1|"Какова дата Рождества? Α) 24 декабря, Β) 25 декабря, Γ) 26 декабря, Δ) 31 декабря"
10|"Ποιος είναι ο Άγιος Βασίλης;"|"Α) Ένας μύθος, Β) Ο Άγιος Νικόλαος, Γ) Ο Άγιος Πατάπιας, Δ) Ο Άγιος Ανδρέας"|1|"Кто такой Санта Клаус? Α) Миф, Β) Святой Николай, Γ) Святой Патапий, Δ) Святой Андрей"
11|"Ποια γιορτή γιορτάζουμε στις 31 Δεκεμβρίου;"|"Α) Πρωτοχρονιά, Β) Πάσχα, Γ) Χριστούγεννα, Δ) Απόκριες"|0|"Какой праздник мы отмечаем 31 декабря? Α) Новый год, Β) Пасха, Γ) Рождество, Δ) Карнавал"
12|"Ποια είναι η σημασία της γιορτής του Πάσχα;"|"Α) Η γέννηση του Ιησού Χριστού, Β) Η ανάσταση του Ιησού Χριστού, Γ) Η επίσκεψη του Αγίου Βασιλείου, Δ) Η γιορτή της αγάπης"|1|"Каково значение праздника Пасхи? Α) Рождение Иисуса Христа, Β) Воскресение Иисуса Христа, Γ) Визит Святого Василия, Δ) Праздник любви"
